Date,Open,High,Low,Close
01/14/2020,3545.55,3545.74,3545.46,3545.65
01/13/2020,3532.33,3532.33,3532.33,3532.33
01/10/2020,3493.97,3522.4,3493.69,3520.98
01/09/2020,3493.97,3493.97,3493.97,3493.97
01/09/2020,3493.97,3493.97,3493.97,3493.97
01/09/2020,3493.97,3493.97,3493.97,3493.97
01/08/2020,3442.34,3442.42,3441.99,3442.28
01/07/2020,3470.93,3470.93,3470.93,3470.93
01/06/2020,3448.68,3448.68,3448.45,3448.54
01/03/2020,3493.68,3519.63,3488.5,3493.39
01/02/2020,3483.16,3497.78,3479.66,3496.48
01/02/2020,3483.16,3497.78,3479.66,3496.48
01/02/2020,3483.16,3497.78,3479.66,3496.48
01/01/2020,3483.16,3483.66,3482.75,3483.6
12/31/2019,3498.36,3498.36,3482.39,3482.67
12/30/2019,3498.36,3498.36,3496.64,3496.82
12/27/2019,3471.85,3500.55,3471.52,3498.74
12/26/2019,3471.85,3471.85,3471.85,3471.85
12/26/2019,3471.85,3471.85,3471.85,3471.85
12/26/2019,3471.85,3471.85,3471.85,3471.85
12/25/2019,3470.38,3471.04,3464.31,3468.42
12/24/2019,3480.07,3485.38,3470.82,3472.17
12/23/2019,3480.07,3480.34,3480.07,3480.22
12/20/2019,3489.63,3490.66,3471.32,3480.6
12/19/2019,3489.63,3489.68,3489.4,3489.68
12/19/2019,3489.63,3489.68,3489.4,3489.68
12/19/2019,3489.63,3489.68,3489.4,3489.68
12/18/2019,3493.11,3493.11,3493.02,3493.02
12/17/2019,3489.04,3489.04,3489.04,3489.04
12/16/2019,3459.37,3459.37,3459.37,3459.37
12/13/2019,3403.6,3461.64,3403.42,3458.15
12/12/2019,3403.6,3403.62,3403.42,3403.62
12/12/2019,3403.6,3403.62,3403.42,3403.62
12/12/2019,3403.6,3403.62,3403.42,3403.62
12/11/2019,3376.17,3376.43,3376.17,3376.32
12/10/2019,3351.32,3351.58,3351.28,3351.58
12/09/2019,3357.27,3357.27,3357.27,3357.27
12/06/2019,3329.05,3346.24,3328.71,3342.88
12/05/2019,3329.05,3329.14,3329.05,3329.14
12/05/2019,3329.05,3329.14,3329.05,3329.14
12/05/2019,3329.05,3329.14,3329.05,3329.14
12/04/2019,3313.18,3313.18,3313.18,3313.18
12/03/2019,3338.69,3339.01,3338.65,3339.01
12/02/2019,3356.48,3356.48,3355.67,3355.74
11/29/2019,3371.06,3377.09,3329.66,3331.44
11/29/2019,3371.06,3377.09,3329.66,3331.44
11/29/2019,3371.06,3377.09,3329.66,3331.44
11/28/2019,3371.06,3371.06,3370.97,3370.97
11/27/2019,3379.05,3379.25,3379.05,3379.21
11/26/2019,3369.52,3369.63,3369.39,3369.63
11/25/2019,3360.52,3360.6,3360.46,3360.46
11/22/2019,3332.05,3347.03,3332.05,3336.81
11/22/2019,3332.05,3347.03,3332.05,3336.81
11/22/2019,3332.05,3347.03,3332.05,3336.81
11/21/2019,3332.05,3333.06,3332.05,3332.99
11/20/2019,3387.33,3387.36,3353.44,3360.48
11/19/2019,3387.33,3387.33,3387.05,3387.24
11/18/2019,3360.97,3361.02,3360.97,3361.02
11/15/2019,3318.63,3349.19,3318.56,3340.15
11/15/2019,3318.63,3349.19,3318.56,3340.15
11/15/2019,3318.63,3349.19,3318.56,3340.15
11/14/2019,3318.63,3318.87,3318.61,3318.73
11/13/2019,3329.15,3329.15,3328.9,3329.06
11/12/2019,3357.52,3357.6,3356.88,3356.88
11/11/2019,3349.13,3349.22,3348.16,3348.26
11/08/2019,3371.34,3394.92,3370.7,3374.69
11/08/2019,3371.34,3394.92,3370.7,3374.69
11/08/2019,3371.34,3394.92,3370.7,3374.69
11/07/2019,3371.34,3371.36,3371.1,3371.31
11/06/2019,3359.18,3359.32,3359.12,3359.32
11/05/2019,3354.81,3355.2,3354.81,3355.07
11/04/2019,3327.51,3329.17,3327.51,3329.08
11/01/2019,3281.73,3305.22,3273.31,3302.69
11/01/2019,3281.73,3305.22,3273.31,3302.69
11/01/2019,3281.73,3305.22,3273.31,3302.69
10/31/2019,3271.38,3294.46,3270.53,3284.86
10/31/2019,3271.38,3294.46,3270.53,3284.86
10/31/2019,3271.38,3294.46,3270.53,3284.86
10/30/2019,3277.01,3278.78,3264.88,3267.8
10/29/2019,3261.48,3279.53,3261.48,3278.77
10/28/2019,3253.29,3267.63,3253.2,3260.17
10/25/2019,3260.91,3264.91,3245.54,3253.97
10/24/2019,3249.12,3263.69,3248.48,3262.17
10/24/2019,3249.12,3263.69,3248.48,3262.17
10/24/2019,3249.12,3263.69,3248.48,3262.17
10/23/2019,3259.55,3260.59,3237.35,3245.43
10/22/2019,3246.56,3263.33,3245.08,3259.8
10/21/2019,3240.01,3248.18,3234.59,3244.19
10/18/2019,3244.59,3247.45,3232.54,3237.81
10/17/2019,3237.28,3245.64,3227.21,3241.32
10/17/2019,3237.28,3245.64,3227.21,3241.32
10/17/2019,3237.28,3245.64,3227.21,3241.32
10/16/2019,3211.41,3236.7,3211.23,3234.39
10/15/2019,3201.24,3219.31,3198.39,3210.96
10/14/2019,3181.43,3208.71,3181.27,3200.18
10/11/2019,3140.98,3188.27,3140.98,3175.81
10/10/2019,3140.11,3145.92,3124.66,3136.76
10/10/2019,3140.11,3145.92,3124.66,3136.76
10/10/2019,3140.11,3145.92,3124.66,3136.76
10/09/2019,3153.73,3153.73,3132.49,3138.61
10/08/2019,3133.61,3159.72,3133.53,3154.77
10/07/2019,3135.02,3143.59,3134.28,3137.01
10/04/2019,3134.54,3148.2,3130.19,3132.23
10/03/2019,3148.74,3149.1,3115.03,3134.58
10/03/2019,3148.74,3149.1,3115.03,3134.58
10/03/2019,3148.74,3149.1,3115.03,3134.58
10/02/2019,3175.71,3176.21,3148.33,3159.07
10/01/2019,3175.17,3186.76,3174.41,3183.19
09/30/2019,3173.32,3175.71,3162.08,3168.44
09/27/2019,3188.92,3190.56,3168.34,3178.09
09/27/2019,3188.92,3190.56,3168.34,3178.09
09/27/2019,3188.92,3190.56,3168.34,3178.09
09/26/2019,3203.52,3206.87,3194.51,3199.81
09/25/2019,3218.91,3218.91,3195.37,3197.86
09/24/2019,3210.4,3226.91,3210.4,3222.03
09/23/2019,3211.05,3218.34,3206.7,3214.49
09/20/2019,3199.99,3217.69,3198.21,3210.9
09/20/2019,3199.99,3217.69,3198.21,3210.9
09/20/2019,3199.99,3217.69,3198.21,3210.9
09/19/2019,3220.14,3231.64,3197.16,3199.07
09/18/2019,3232.49,3233.41,3219.52,3220.96
09/17/2019,3252.36,3255.66,3230.73,3236.9
09/16/2019,3267.74,3275.78,3250.36,3256.46
09/13/2019,3243.86,3267.38,3241.71,3263.39
09/13/2019,3243.86,3267.38,3241.71,3263.39
09/13/2019,3243.86,3267.38,3241.71,3263.39
09/12/2019,3244.84,3251.79,3231.74,3242.06
09/11/2019,3195.21,3242.62,3195.21,3240.93
09/10/2019,3183.22,3202.2,3183.22,3192.12
09/09/2019,3166.81,3185.01,3166.81,3180.3
09/06/2019,3156.52,3170.17,3153.51,3168.33
09/06/2019,3156.52,3170.17,3153.51,3168.33
09/06/2019,3156.52,3170.17,3153.51,3168.33
09/05/2019,3130.22,3166.34,3130.22,3152.47
09/04/2019,3070.97,3131.1,3063.85,3126.88
09/03/2019,3076.27,3083.84,3065.79,3070.38
09/02/2019,3094.54,3099.85,3074.41,3079.57
08/30/2019,3059.61,3098.84,3059.39,3097.46
08/29/2019,3053.16,3057.01,3037.69,3050.08
08/29/2019,3053.16,3057.01,3037.69,3050.08
08/29/2019,3053.16,3057.01,3037.69,3050.08
08/28/2019,3048.06,3060.08,3045.87,3048.8
08/27/2019,3043.48,3058.02,3043.3,3048.19
08/26/2019,3090.57,3090.57,3017.99,3036.18
08/23/2019,3068.5,3093.44,3066.56,3090.02
08/22/2019,3088.19,3089.57,3068.09,3070.23
08/22/2019,3088.19,3089.57,3068.09,3070.23
08/22/2019,3088.19,3089.57,3068.09,3070.23
08/21/2019,3093.76,3093.76,3079.99,3089.25
08/20/2019,3089.99,3106.24,3086.29,3100.84
08/19/2019,3062.45,3096.37,3061.69,3089.73
08/16/2019,3043.18,3063.42,3032.69,3056.14
08/15/2019,3058.27,3058.27,3020.29,3047.86
08/15/2019,3058.27,3058.27,3020.29,3047.86
08/15/2019,3058.27,3058.27,3020.29,3047.86
08/14/2019,3068.56,3086.85,3058.93,3063.57
08/13/2019,3089.03,3089.03,3055.41,3055.41
08/12/2019,3103.28,3115.05,3096.69,3099.6
08/09/2019,3108.01,3117.39,3103.5,3105.21
08/08/2019,3094.14,3109.16,3080.56,3098.87
08/08/2019,3094.14,3109.16,3080.56,3098.87
08/08/2019,3094.14,3109.16,3080.56,3098.87
08/07/2019,3094.4,3095.72,3072.64,3095.72
08/06/2019,3118.42,3118.54,3055.39,3092.68
08/05/2019,3197.22,3197.22,3120.75,3122.69
08/02/2019,3263.63,3263.63,3200.32,3206.82
08/01/2019,3267.51,3272.62,3257.82,3271.54
08/01/2019,3267.51,3272.62,3257.82,3271.54
08/01/2019,3267.51,3272.62,3257.82,3271.54
07/31/2019,3305.22,3312.61,3277,3278.1
07/30/2019,3317.12,3326.59,3308.54,3309.63
07/29/2019,3329.8,3333.53,3306.3,3312.53
07/26/2019,3349.7,3349.7,3326.93,3331.28
07/25/2019,3351.37,3361.79,3350.94,3353.83
07/25/2019,3351.37,3361.79,3350.94,3353.83
07/25/2019,3351.37,3361.79,3350.94,3353.83
07/24/2019,3350.86,3372.75,3348.83,3355.77
07/23/2019,3342.35,3355.42,3339.54,3348.94
07/22/2019,3353.11,3359.59,3339.8,3344.93
07/19/2019,3328.22,3362.98,3327.47,3354.92
07/18/2019,3331.54,3331.54,3310.67,3317.41
07/18/2019,3331.54,3331.54,3310.67,3317.41
07/18/2019,3331.54,3331.54,3310.67,3317.41
